Hungarian,English
Szia!,Hi!
Jó reggelt!,Good morning!
Jó estét!,Good evening!
Hogy vagy?,How are you?
Köszönöm!,Thank you!
Viszlát!,Goodbye!
Hol van a mosdó?,Where is the restroom?
Beszélsz angolul?,Do you speak English?
Segíthetek?,Can I help?
Mennyibe kerül?,How much does it cost?
Mi a neved?,What is your name?
Honnan jöttél?,Where are you from?
Nem értem.,I don't understand.
Kérem ismételje meg!,Please repeat!
Szeretlek.,I love you.
Hol van a legközelebbi bolt?,Where is the nearest store?
Van valami ajánlata?,Do you have any recommendations?
Mikor indul a vonat?,When does the train leave?
Milyen idő van ma?,What is the weather like today?
Nagyon finom!,It is very delicious!
Kérem!,Please!
Bocsánat!,Sorry!
Merre van a buszmegálló?,Where is the bus stop?
Milyen nap van ma?,What day is it today?
Ez nagyon szép.,This is very beautiful.
Milyen messze van?,How far is it?
Mikor kezdődik a film?,When does the movie start?
Mit ajánlasz?,What do you recommend?
Hívhatok egy taxit?,Can I call a taxi?
Ez itt foglalt?,Is this seat taken?
Tudsz segíteni nekem?,Can you help me?
Ez egy ajándék.,This is a gift.
Szükségem van segítségre.,I need help.
Hány óra van?,What time is it?
Megismételnéd?,Can you repeat that?
Elfogadják a hitelkártyát?,Do you accept credit cards?
Hova menjünk?,Where should we go?
Mi a kedvenc ételed?,What is your favorite food?
Mi a címed?,What is your address?
Meg tudnád mutatni a térképen?,Can you show me on the map?
Milyen zenét szeretsz?,What kind of music do you like?
Szeretem Magyarországot.,I love Hungary.
Kipróbálhatom?,Can I try it?
Mi az ára?,What is the price?
Hogyan jutok el a repülőtérre?,How do I get to the airport?
Van szabad szoba?,Do you have a free room?
Tudod a választ?,Do you know the answer?
Nem vagyok biztos benne.,I am not sure.
Melyik irányba kell menni?,Which way should I go?
Mit csinálsz szabadidődben?,What do you do in your free time?
Mit szeretnél enni?,What would you like to eat?
Ez egy szép város.,This is a beautiful city.
Mi a legjobb étterem itt?,What is the best restaurant here?
Hozhatom a számlát?,Can I have the bill?
Mi a specialitásuk?,What is their specialty?
Van vegetáriánus étel?,Do you have vegetarian food?
Szükségem van orvosra.,I need a doctor.
Hol van a kórház?,Where is the hospital?
Hol találok gyógyszertárat?,Where can I find a pharmacy?
Milyen hosszú az út?,How long is the journey?
Melyik busz megy a városközpontba?,Which bus goes to the city center?
Hány megálló van?,How many stops are there?
Van parkolóhely?,Is there parking available?
Ez nagyon érdekes.,This is very interesting.
Hogyan tudok segíteni?,How can I help?
Van kedved moziba menni?,Do you feel like going to the cinema?
Hol lehet jegyet venni?,Where can I buy a ticket?
Miért késik a vonat?,Why is the train delayed?
Ez egy meglepetés.,This is a surprise.
Mikor találkozunk?,When do we meet?
Hol van a legközelebbi bank?,Where is the nearest bank?
Elfogadják az eurót?,Do you accept euros?
Mennyi a napi árfolyam?,What is the exchange rate today?
Van kedvezmény?,Is there a discount?
Mikor zár be a bolt?,When does the shop close?
Melyik utca ez?,Which street is this?
Mi a telefonszámod?,What is your phone number?
Van wifi?,Is there WiFi?
Hol lehet internetet használni?,Where can I use the internet?
Ez a hely nagyon hangulatos.,This place is very cozy.
Mit olvasol most?,What are you reading now?
Hány éves vagy?,How old are you?
Mikor van a születésnapod?,When is your birthday?
Hogyan kell ezt mondani magyarul?,How do you say this in Hungarian?
Ez nagyon fontos.,This is very important.
Meg tudod ismételni lassabban?,Can you repeat it more slowly?
Melyik csapat nyert?,Which team won?
Mi a hobbid?,What is your hobby?
Van testvéred?,Do you have siblings?
Hogyan mondják ezt angolul?,How do you say this in English?
Készen állsz?,Are you ready?
Ez csodálatos!,This is wonderful!
Ez egy jó ötlet.,This is a good idea.
Meg tudnád magyarázni?,Can you explain?
Kérhetek egy pohár vizet?,Can I have a glass of water?
Mit szeretnél csinálni ma?,What do you want to do today?
Mikor van a következő vonat?,When is the next train?
Mi a különbség a kettő között?,What is the difference between the two?
Ez igaz?,Is this true?
Ez egy nagyszerű nap!,This is a great day!
